Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Plunyon Kalikuning,Kedung Sriti Umbulharjo Cangkringan ,Umbulharjo ,Cangkringan ,Sleman,Taman Nasional Gunung Merapi,"-7.604877, 110.435190",08132719443,-,-,-,Owa plunyon kalikuning,-,-,Tidak Ada Keterangan,Alam,4.6,-7.60353962,110.4349626,Jembatan gantung ikonik dengan pemandangan lembah dan sungai yang sejuk.,"Rp12,000","Rp12,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Bukit Mojo Gumelem,Padukuhan Kediwung,Mangunan,Dlingo,Bantul,Milik Kehutanan,"-7.9573475, 110. 4334408",087751664000 (Bapak Jefri),tidak ada,tidak ada,tidak ada,tidak ada,tidak ada,tidak ada,Rendah,Alam,4.2,-7.956460929,110.4334203,"Pemandangan lanskap perbukitan dari ketinggian,","Rp5,000","Rp5,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Gesing,Bolang,Girikarto ,Panggang,Gunungkidul,-,"8°06'34""S 110°28'03""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-8.108386612,110.467926,Pantai dan Desa nelayan yang ramai dan menjadi pusat aktivitas perikanan,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Tembi Rumah Budaya,"Jl. Parangtritis No.Km 8.4, Tembi",Timbulharjo,Sewon,Bantul,-,"-7.869912519841347, 110.3563987118735",-,-,-,-,-,-,-,Tidak Ada Keterangan,Budaya,4.5,-7.869164578,110.3561756,Pusat pelestarian budaya Jawa yang menawarkan pengalaman tinggal di rumah tradisional.,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-16.00,09.00-15.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Taman Nasional Gunung Merapi,"Jl. Kaliurang KM 22,6, Hargobinangun, Pakem",Hargobinangun,Pakem,Sleman,-,"-7.617777341192424, 110.42628323677347",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-7.617203104,110.4262618,Keindahan Flora dan Fauna Lereng gunung merapi,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",07.30-16.00,closed,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Gunung Api Merapi,"Jl. Kaliurang No.Km. 22, Banteng, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem ,Sleman,TKD lalu diberikan ke Pemda Sleman,"-7.615822532420658, 110.42397354284671",082133579400,-,-,MGM Sleman,museumgunungmerapi,-,-,Tidak Ada Keterangan,Sejarah,4.4,-7.614629693,110.4238626,"Koleksi Gunung Merapi, Informasi dan edukasi lengkap tentang gunung api di Indonesia dan dunia.","Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-15.00,08.00-14.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Wisata Alam Watu Gendong Beji ,"Tungkluk, Beji",Beji,Ngawen,Gunungkidul,Tanah Kasultanan,"7°50'24""S 110°40'13""E",0813-4604-2677,-,-,-,watugendong_official,-,-,Tidak Ada Keterangan,Alam,4.7,-7.84077642,110.6703515,Formasi batu-batu besar yang unik dan menantang untuk off-road.,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Sepanjang ,Jl Nglolang saglen ,Kemadang ,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-8.128645, 110.549056",082328214663,-,-,-,Pantaisepanjang,-,-,Menengah Rendah,Alam,4.5,-8.134838102,110.565721,Pantai terpanjang di Gunungkidul dengan hamparan pasir putih yang luas.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Mangrove Wanatirta,Pasir Mendit,Jangkaran,Temon,Kulon Progo,Tanah Pakualaman,"7°53'35""S 110°01'13""E",-,-,-,-,mangrove_wanatirta_official,-,-,Tidak Ada Keterangan,Alam,4.1,-7.8931170,110.0206224,Kawasan konservasi mangrove yang menawarkan suasana alam yang tenang.,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Pantai Parangtritis,"Dusun kretek, dusun mancingan",Parangtritis,kretek,Bantul,Tanah Kasultanan,"-8,026199S  110,332594E",Tri Waldiyono  08174120781,Adi Cahya 085225594354,visitingjogja.jogjaprov.go.id,pantai parangtritis,pantai parangtritis,pantai parangtritis,pantai parangtritis,Rendah,Alam,4.6,-8.019334508,110.328456,Pemandangan pantai,"Rp15,000","Rp15,000","Rp3,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Ada,Ada,Ada,Tidak Ada,Ada
Museum Dewantara Kirti Griya,jl tamansiswa no 31,wirogunan,Mergangsan ,Kota Yogyakarta,shm,"-7.805127,110.378098",081802651509,-,-,-,museumdewantara,-,-,Tidak Ada Keterangan,Sejarah,4.7,-7.804151373,110.3783036,koleksi rumah ki harjar dewantara,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",08.00-13.30,08.00-13.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Pulang Sawal,Ngasem,Tepus,Tepus,Gunungkidul,Tanah Kasultanan,"-8,150318S 110,612197E",Heri 081227851556,-,-,-,-,-,-,Rendah,Alam,4.6,-8.150566912,110.6126253,Pantai,"Rp15,000","Rp15,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Tidak Ada
Pantai Sarangan,Padukuhan Bruno,Nestirejo,Tanjungsari,Gunungkidul,Tanah Kasultanan,"-8.1475581,110.5962539",081228928485 (Pak Subino Ketua Pokdarwis),-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.1399493,110.5968149,Pantai dengan tebing dan bebatuan karang,"Rp15,000","Rp15,000","Rp3,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Candi Sari,Jl candi sari Jl raya solo yogyakarta no 107,tirtomartani,kalasan,Sleman,Tanah Kasultanan,"-7.7616057,110.4742308",087738161245 Dwi,-,-,-,-,-,-,Rendah,Sejarah,4.5,-7.753063877,110.4740707,Candi Buddha yang dulunya berfungsi sebagai asrama atau tempat tinggal para biksu. Candi ini memiliki tiga bilik bertingkat yang berbeda,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Museum Kotagede Intro Living Museum,"Jl. Tegal Gendu No.20, Prenggan",Prenggan,Kotagede,Kota Yogyakarta,-,"-7.826142443024292, 110.3927908652836",081288660045,-,introlivingmuseumkotagede@gmail.com,museum kotagede : intro living museum,museumkotagede,Museum Kotagede,museumkotagedeyk,Tidak Ada Keterangan,Sejarah,4.8,-7.825362601,110.3920782,"Konsep ""Museum Hidup"", Bangunan Yang Unik, Memberikan pengalaman langsung tentang sejarah dan budaya Kotagede, bukan hanya melalui benda mati, tapi juga interaksi dengan masyarakatnya",Rp0,Rp0,"Rp3,000","Rp5,000",08.00-15.30,08.00-15.30,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Situs Gembirowati,Watugajah,Girijati,Purwosari,Gunungkidul,Tanah Kasultanan,"8°00'58""S 110°20'24""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-8.015412723,110.3399699,Reruntuhan kompleks candi atau istana purbakala dengan nilai sejarah,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Torohudan ,Kanigoro,Kanigoro,Saptosari,Gunungkidul,Tanah Kas Desa,"-8.121925647506286, 110.5160383183388",-,-,-,-,pantaitoroudan,-,-,Tidak Ada Keterangan,Alam,4.5,-8.114775854,110.5170046,Pantai dengan pemandangan batuan karang yang indah.,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Pleret,Jl. Pleret,Pleret,Pleret,Bantul,Tidak Ada Keterangan,"7°52'06""S 110°24'18""E",081390375674,-,linktr.ee/museumpleret,-,museumpleret,museumsejarahpurbakalapler6519,-,Tidak Ada Keterangan,Sejarah,4.6,-7.867483651,110.4054244,Situs-situs peninggalan Kerajaan Mataram,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Pantai Ngobaran,"Jalan Ngobaran, Ngrenehan",Kanigoro,Saptosari,Gunungkidul,Tanah Kasultanan,"-8.11845325686281, 110.50504081041008",082324689356,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-8.118397476,110.5028665,"Pura dan patung-patung dewa di atas tebing yang menghadap ke laut, perpaduan wisata alam dan budaya","Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Banyutibo,Dusun Duwet,Purwodadi,Tepus,Gunungkidul,SHM,"-8.18439,110.68888",082133754080,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-8.206830202,110.9130376,Air terjun yang mengalir langsung ke pantai.,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Ada
Wisata Bukit Watugede,Padukuhan Sinom,Kedungpoh,Nglipar,Gunungkidul,Tanah Kasultanan dan Pribadi,"-7.8595776,110.6194057",Bapak Yusuf Efendi : 0817276371,-,buage@.wordpress.com,-,@watugede_buage,-,-,Tidak Ada Keterangan,Alam,4.0,-7.85837003,110.61935554,Pemandangan hamparan sawah dan perbukitan yang hijau dari ketinggian,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Pantai Ngedan ,Krambil Sawit,Krambil Sawit,Saptosari,Gunungkidul,Tanah Kasultanan,"-8.116055014816565, 110.49627182143699",082243771953,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.115743921,110.4962994,"Pantai
Tebing","Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Glagah,"Glagah, Temon",Glagah,Temon,Kulon Progo,Tanah Pakualaman,"7°54'47""S 110°04'03""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-7.9111857,110.0646768,Pantai dengan ombak besar dan tetrapod pemecah ombak.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Pantai Buron,Bolang,Girikarto ,Panggang,Gunungkidul,-,"8°06'36""S 110°28'11""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.109481947,110.4686783,Pantai,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Gerabah Kasongan,Kajen Bangunjiwo Kasihan Bantul,Bangunjiwo ,Kasihan,Bantul,Sewa Tempat dari kelompok pengrajin,"-7.843474, 110.336858",081228669090,08157977722,-,Museum Gerabah ,Museum Gerabah ,-,Museumku Gerabah Timbul Raharjo,Rendah,Budaya,4.7,-7.842127214,110.3369496,Cafe dengan desain unik dan galeri keramik,"Rp25,000","Rp25,000","Rp3,000","Rp5,000",07.00-18.00,07.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Candi ijo,Nglengkong,Sambirejo,Prambanan,Sleman,-,"-7.78379, 210,51199",087738161245,-,-,Candi ijo,@pesona_candiijo,-,candi ijo,Rendah,Sejarah,4.8,-7.782212604,110.5117127,Kompleks candi tertinggi di Yogyakarta yang menawarkan pemandangan kota dan sunset dari ketinggian.,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Makam Ki Ageng Giring Sukodono,Tanah H. Sardjono,Giring,Paliyan,Gunungkidul,Tanah Kasultanan,"-8.020408453126203, 110.56673519556826",08213873,-,-,-,-,-,-,Tinggi,Sejarah,4.8,-8.020669043,110.5636699,Makam dan petilasan tokoh spiritual yang dianggap sebagai leluhur raja-raja Mataram,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Pantai Pandansimo,Ngentak,Poncosari,Srandakan,Bantul,Tanah Kasultanan,"7°59'16""S 110°13'04""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-7.987342016,110.2178295,Pantai,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Potrobayan,Potrobayan,Srihardono,Pundong,Bantul,Tanah Kasultanan,"7°57'19""S 110°21'43""E",-,-,-,Potrobayan River Camp,potrobayan,-,Potrobayan River Camp,Tidak Ada Keterangan,Alam,4.6,-7.956331781,110.3605514,"	Pemandangan lanskap sungai dengan formasi batuan karst dan tebing","Rp10,000","Rp10,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Gua Tanding,Gelaran 2,Bejiharjo,Karangmojo,Gunungkidul,SHM (Pribadi),"-7,932753,110.649112",082328539540 (Sidiq),-,-,-,Gua Tanding Official,-,-,Rendah,Alam,4.6,-7.931671314,110.6494942,Gua Tanding,"Rp150,000","Rp150,000","Rp3,000","Rp5,000",06.00-19.00,06.00-19.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Candi Gebang,Gebang,Wedomartani,Ngemplak,Sleman,Pemerintah,"-7.7514501,110.4162870",08151854045,-,,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.751167737,110.4162672,Candi Hindu yang unik dengan arsitektur berbentuk seperti rumah dan berukuran keci,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Mahaloka Paradise ,"Pronosutan, Kembang",Kembang ,Nanggulan ,Kulon Progo,SHM ,"-7.746851595778252, 110.20557085212118",081330263156,-,-,-,mahaloka_paradise,-,mahaloka_paradise ,Tidak Ada Keterangan,Alam,4.5,-7.74632561,110.20536519,View sawah,"Rp20,000","Rp20,000","Rp3,000","Rp10,000",08.00-19.00,08.00-19.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Biologi,jl sultan agung no 22,wirogunan,Mergangsan ,Kota Yogyakarta,milik UGM,"-7.801827,110.374401",082134889187,-,-,-,museumbiologiugm,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.800807135,110.3743475,koleksi biologi,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-16.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Gua Cerme,srunggu selopamioro imogiri bantul,Selopamioro ,Imogiri,Bantul,kas desa,"-7.9794530,110.3805821",081326734373,-,-,-,goacermeofficial,-,-,Tidak Ada Keterangan,Alam,4.5,-7.978678231,110.3802929,Gua panjang dengan aliran sungai bawah tanah dan sejarah sebagai tempat pertemuan para Walisongo,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",07.00-18.00,07.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Mangrove Jembatan api- Api,"Pasri Mendit, Jangkaran",Jangkaran,Temon,Kulon Progo,Tanah Pakualaman,"7°53'37""S 110°01'33""E",0857-2994-7188,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-7.8923582,110.0258914,Hutan Mangrove dengan jalur jembatan bambu yang menyerupai api.,"Rp8,000","Rp8,000","Rp2,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Gedung Agung,Jl. Margo Mulyo,Ngupasan,Gondomanan,Kota Yogyakarta,Shm,,,,,,,,,Tidak Ada Keterangan,Sejarah,4.6,-7.799338206,110.3638666,Istana Kepresidenan di Ibu Kota Revolusi,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-16.00,08.00-16.30,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Tidak Ada
Gardu Pandang Kaliurang,"Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem,Sleman,Tanah Kasultanan,"-7.592437471111282, 110.42503050211847",085742297782,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.592397083,110.4249616,Pemandangan Gunung Merapi,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",07.00-17.00,07.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Jendral Sudirman,Jl. bintaran wetan no.3,Gunungketur,Pakualaman,Kota Yogyakarta,okupsi (tanah milik pakualaman),"-7.802351, 110.375434",027437663,m.sasmitalokasudirman@gmail.com,disjarah.57,@museumsudirman,@museumsudirman,disjarah.57,@museumsudirman,Rendah,Sejarah,4.7,-7.792705102,110.3758675,Koleksi benda-benda bersejarah yang berkaitan dengan perjuangan Jenderal Sudirman.,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Kampung Jelok,"Jelok, Beji, Kec. Patuk",Beji,Patuk ,Gunungkidul,Tanah Kas Desa,"-7.883475391672962, 110.51370731102868",087838665382 (PAK SUKRI) PENGELOLA KAMPUNG JELOK,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-7.882476517,110.509078,Desa wisata yang menawarkan suasana pedesaan yang otentik,Rp0,Rp0,"Rp2,000","Rp5,000",09.00-19.45,09.00-19.45,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Bidara,"Jl. Pantai Bugel, Gumuk Waru, Bugel",Bugel,Panjatan,Kulon Progo,PAG,"7°57'00"" S 110°09'02 E",0882003371667,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-7.949897611,110.1506982,Pantai dengan suasana pedesaan,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Kalisuci Cave Tubing,Jetis,Pacarejo,Semanu,Gunungkidul,Sebagian PEMDA dan Sebagian Tanah Kasultanan,"-8.009481608533816, 110.63891799445315",083894247508,-,-,Kalisuci Cave Tubing,kalisucicavetubing,-,KALISUCI CAVE TUBING,Tidak Ada Keterangan,Alam,4.6,-8.008831964,110.6386721,Kegiatan menyusuri sungai bawah tanah di dalam gua menggunakan ban pelampung (Cave tubing),"Rp200,000","Rp200,000","Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Geoteknologi Mineral UPN,Jl. Babarsari No. 2 ,Caturtunggal,Depok,Sleman,Milik UPN,"-7.781540221661616, 110.41456675537694",082137269025,-,https://geologi.upnyk.ac.id/id/page/museum-geoteknologi-mineral-mgtm,Museum Geoteknologi Mineral UPN,MuseumgeoteknologiUPN,@museumgeoteknologimineralu9186,-,Tinggi,Sejarah,4.6,-7.781032189,110.4147009,"Koleksi mineral, batuan, dan fosil dari berbagai periode geologi.","Rp12,500","Rp12,500","Rp3,000","Rp5,000",08.00-14.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Monumen Perjuangan Taruna (Plataran),"Plataran, Kiyudan",Selomartani,Kalasan,Sleman,-,"-7.7144251,110.4628787",085869729588,-,-,-,-,-,-,Rendah,Sejarah,4.5,-7.713800127,110.4629323,"Monumen, Informasi sejarah monumen plataran yang dibangun untuk mengenang perjuangan taruna Akademi Militer Yogyakarta dalam mempertahankan kemerdekaan Indonesia.",Rp0,Rp0,"Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
